CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
49,921.941018766756,335.619302949062,120.034852546917,614.064343163539,1540.58713136729,507.892761394102,710.219839142091,380.991957104558,363.932975871314,107.729222520107,800.772117962467,399.632707774799,937.57908847185,1690.01876675603,789.29490616622,754.383378016086,156.772117962467,1047.4691689008,546.975871313673,674.635388739946,224.86327077748,164.479892761394,500.257372654156,780.571045576408,281.394101876676,807.635388739946,627.664879356568,879.085790884718,186.174262734585,270.254691689008,20234.1528150134,27315.4611260054,373,22.9859908109192,20.6818690203515,0.436385629618788,0.971354166666667,0.772256728778468,-1.50224816899362,F29P1,HN,1,F29P1,effector CD8+ T cells,,HG_dysplasia_F29P1_3
85,1177.61650485437,412.643203883495,100.46359223301,581.242718446602,1445.2427184466,624.648058252427,402.915048543689,350.01213592233,350.567961165049,107.342233009709,1008.02184466019,388.606796116505,44.7597087378641,671.98786407767,1046.13834951456,692.905339805825,143.478155339806,423.322815533981,708.157766990291,551.708737864078,212.815533980583,159.694174757282,685.851941747573,200.553398058252,95.3033980582524,834.631067961165,790.470873786408,764.720873786408,171.099514563107,249.041262135922,20915.1699029126,24842.2742718447,412,23.9495165978997,21.9394098892136,0.401020665700343,0.96037296037296,0.78030303030303,1.51434448852267,F29P1,HN,1,F29P1,CD4+ T cells,,HG_dysplasia_F29P1_3
194,742.4,227.046341463415,66.9048780487805,580.060975609756,1484.58536585366,372.678048780488,596.119512195122,346.763414634146,368.480487804878,106.419512195122,602.865853658537,371.431707317073,56.0390243902439,333.768292682927,639.204878048781,668.687804878049,177.060975609756,263.40243902439,392.921951219512,537.363414634146,212.565853658537,174.251219512195,376.263414634146,197.826829268293,87.4024390243903,1667.87073170732,450.080487804878,759.582926829268,155.851219512195,255.970731707317,19317.2097560976,27241.8682926829,410,27.4720429930659,19.0581389399636,0.720236614096458,0.957943925233645,0.750915750915751,-1.13815135187925,F29P1,HN,1,F29P1,stromal cells,,HG_dysplasia_F29P1_3
202,1400.40144927536,223.450724637681,60.7971014492754,346.771014492754,41.368115942029,693.985507246377,326.331884057971,486.134782608696,472.371014492754,106.272463768116,1209.18260869565,367.089855072464,977.221739130435,556.421739130435,1146.51884057971,671.878260869565,202.388405797101,381.369565217391,802.533333333333,726.082608695652,221.827536231884,211.494202898551,684.663768115942,248.85652173913,78.6942028985507,812.06231884058,872.895652173913,798.65652173913,153.565217391304,267.391304347826,18838.0855072464,26008.1898550725,690,30.9218157290951,28.4492900046018,0.391825765089597,0.973201692524683,0.793103448275862,0.723144310686433,F29P1,HN,1,F29P1,tumor cells,,HG_dysplasia_F29P1_3
262,755.297520661157,234.683884297521,77.9607438016529,504.109504132231,1028.18595041322,422.373966942149,249.464876033058,321.117768595041,377.03305785124,107.557851239669,687.683884297521,327.890495867769,398.559917355372,1046.13016528926,691.340909090909,753.154958677686,120.055785123967,1427.02066115702,473.636363636364,628.75,206.318181818182,150.456611570248,425.845041322314,510.194214876033,73.2045454545455,790.332644628099,530.652892561983,793.119834710744,155.111570247934,341.659090909091,20542.4690082645,26454.0785123967,484,26.5655435195618,23.2039299553865,0.486896565422063,0.96031746031746,0.775641025641026,-1.20198911314055,F29P1,HN,1,F29P1,effector CD8+ T cells,,HG_dysplasia_F29P1_3
293,1311.39285714286,215.373015873016,56.8531746031746,342.433862433862,40.3240740740741,644.943121693122,319.178571428571,472.177248677249,425.718253968254,106.17328042328,1137.66931216931,365.572751322751,645.083333333333,710.73544973545,1033.66137566138,665.521164021164,159.719576719577,353.876984126984,743.640211640212,728.244708994709,218.455026455026,189.506613756614,684.109788359788,235.59126984127,86.1494708994709,802.628306878307,829.089947089947,788.634920634921,153.935185185185,264.476190476191,19357.9285714286,25617.2817460317,756,34.0038372531054,28.3917422834966,0.55031517455717,0.967989756722151,0.763636363636364,0.539229822832933,F29P1,HN,1,F29P1,tumor cells,,HG_dysplasia_F29P1_3
401,1374.80474934037,502.488126649077,79.9736147757256,637.87598944591,1919.71240105541,701.10290237467,311.585751978892,348.970976253298,396.163588390501,107.963060686016,1149.05540897098,426.496042216359,91.9498680738786,460.799472295515,1099.23746701847,806.232189973615,147.562005277045,387.617414248021,794.116094986807,564.184696569921,214.683377308707,163.646437994723,676.744063324538,449.145118733509,72.4934036939314,821.364116094987,879.970976253298,894.503957783641,171.889182058047,255.905013192612,20323.8126649077,26080.3482849604,379,24.2521455940722,20.038517067648,0.563292598839745,0.957070707070707,0.751984126984127,-1.20267054231742,F29P1,HN,1,F29P1,CD4+ T cells,,HG_dysplasia_F29P1_3
436,953.350828729282,317.049723756906,77.8149171270718,435.447513812155,515.245856353591,487.662983425414,1133.43093922652,349.146408839779,400.39226519337,106.707182320442,824.662983425414,589.334254143646,427.682320441989,853.102209944751,804.864640883978,660.408839779006,334.870165745856,289.044198895028,570.113259668508,694.577348066298,217.781767955801,166.798342541436,522.895027624309,983.53591160221,215.936464088398,875.754143646409,637.546961325967,828.917127071823,225.975138121547,271.32320441989,19741.638121547,27137.6298342541,362,22.8234625447268,20.2114708970216,0.464531242171656,0.970509383378016,0.78695652173913,1.56941685065212,F29P1,HN,1,F29P1,M2 macrophages,,HG_dysplasia_F29P1_3
466,991.718181818182,277.312121212121,518.890909090909,425.7,513.160606060606,542.030303030303,260.633333333333,333.578787878788,330.336363636364,108.172727272727,901.012121212121,348.866666666667,363.433333333333,328.578787878788,902.306060606061,688.90303030303,140.448484848485,1533.02424242424,610.90303030303,715.09696969697,213.621212121212,158.266666666667,571.724242424242,195.042424242424,71.8878787878788,815.969696969697,695.463636363636,957.890909090909,154.172727272727,248.348484848485,20324.1363636364,26385.8787878788,330,22.7369070149405,18.5296774264427,0.579516736128539,0.953757225433526,0.755148741418764,-1.3917445283175,F29P1,HN,1,F29P1,memory CD8+ T cells,,HG_dysplasia_F29P1_3
518,936.495702005731,678.174785100287,295.598853868195,753.338108882522,2304.34097421203,507.97994269341,242.378223495702,319.487106017192,326.083094555874,106.664756446991,755.899713467049,466.80229226361,40.5329512893983,858.670487106017,787.842406876791,715.696275071633,116.690544412607,378.068767908309,536.051575931232,489.656160458453,201.810888252149,157.518624641834,518.822349570201,486.386819484241,57.1776504297994,814.203438395415,582.699140401146,780.988538681948,154.968481375358,245.220630372493,20745.6618911175,24837.9455587393,349,21.9262228403167,20.2760407905903,0.380601047107562,0.977591036414566,0.830952380952381,-0.590278601579218,F29P1,HN,1,F29P1,CD4+ T cells,,HG_dysplasia_F29P1_3
