CellID,X_centroid,Y_centroid,phenotype_key
102,3251.8595041322315,4682.575757575758,endothelial cells
194,3295.294363256785,4816.308977035491,M1/M0 macrophages
243,2848.649541284404,4745.662385321101,other APCs
244,2901.396160558464,4718.331588132635,Ki67+ tumor cells
295,2837.597249508841,4841.349705304519,tumor cells
372,3194.201017811705,5384.567430025445,M1/M0 macrophages
376,2323.6188118811883,4704.782178217822,M1/M0 macrophages
414,2642.435045317221,4333.069486404834,M1/M0 macrophages
423,2784.526627218935,4843.084812623274,tumor cells
528,2283.6902800658977,4568.2454695222405,M2 macrophages
551,2848.690789473684,4423.519736842105,M2 macrophages
606,2867.98538011696,5220.820175438596,dendritic cells
653,3036.0375,5107.817857142857,other APCs
729,2655.317411402157,5042.51001540832,M2 macrophages
795,2709.38305709024,4485.998158379374,Ki67+ tumor cells
823,2802.954128440367,5172.730275229358,tumor cells
896,3200.1367346938778,5170.755102040816,M1/M0 macrophages
901,2713.634517766497,5159.779187817259,tumor cells
936,2421.90494296578,4496.1882129277565,tumor cells
956,2826.455540355677,4618.242134062927,M1/M0 macrophages
1010,2637.2510373443984,5127.352697095435,M1/M0 macrophages
1042,2857.767109295199,4498.631256384066,M1/M0 macrophages
1203,2877.1990521327016,4899.802527646129,Ki67+ tumor cells
1296,3128.4074074074074,4524.68287037037,M2 macrophages
1353,3131.5112540192927,4447.961414790997,M2 macrophages
1445,2366.481818181818,4881.877272727273,tumor cells
1520,2997.391389432485,5028.091976516634,M1/M0 macrophages
1707,3041.288167938931,4754.8893129771,M1/M0 macrophages
1745,3290.4842931937173,4558.3298429319375,M2 macrophages
1808,2415.5138539042823,4424.670025188917,M1/M0 macrophages
1873,2767.0282131661443,4641.242946708464,M1/M0 macrophages
2001,2723.36928702011,4188.80987202925,other APCs
2080,2551.9092872570195,4490.36717062635,other APCs
2081,3055.98418972332,5080.235177865613,other APCs
2145,2661.3131955484896,4665.489666136725,tumor cells
2364,3261.0145278450364,4997.7384987893465,M1/M0 macrophages
2445,2693.1188679245283,4405.03962264151,Ki67+ tumor cells
2523,2907.6329787234044,4533.06914893617,M1/M0 macrophages
2600,3039.518248175182,4702.571776155718,M1/M0 macrophages
2628,2994.7835671342687,4777.667334669339,M1/M0 macrophages
2646,2638.125890736342,5093.076009501187,M2 macrophages
2698,2437.924157303371,4762.404494382023,M1/M0 macrophages
2705,2488.453608247423,4695.327835051547,tumor cells
2757,2547.0111524163567,4252.788104089219,Ki67+ tumor cells
2793,2855.2792109256447,4617.499241274659,M1/M0 macrophages
2811,3351.9164086687306,4609.851393188855,endothelial cells
2819,2765.132673267327,4258.007920792079,tumor cells
2886,3284.201634877384,4618.814713896458,M2 macrophages
2890,3222.24,5206.0142857142855,M2 macrophages
2907,2702.858139534884,4313.702325581396,M1/M0 macrophages
2949,2822.2087475149106,4894.081510934394,tumor cells
2954,2567.9126853377265,5168.317957166392,M1/M0 macrophages
3013,2717.186936936937,4874.542792792793,Ki67+ tumor cells
3034,2889.5180722891564,5545.439759036145,M1/M0 macrophages
3044,3077.7717996289425,5470.187384044527,other APCs
3185,3123.553047404064,4412.803611738149,M2 macrophages
3296,2793.996710526316,4503.825657894737,M2 macrophages
3337,2994.7225950783,4442.161073825503,M2 macrophages
3449,3132.926517571885,4464.083067092652,M2 macrophages
3463,2498.248722316865,4932.608177172061,tumor cells
3482,3144.9235537190084,4815.061983471074,tumor cells
