CellID,X_centroid,Y_centroid,phenotype_key
79,4512.820512820513,2618.925641025641,M2 macrophages
174,4677.861111111111,2838.988888888889,regulatory T cells
384,4706.226415094339,2383.3278301886794,regulatory T cells
673,4488.886934673367,2550.902010050251,regulatory T cells
1743,4950.93265993266,2224.4410774410776,CD4+ T cells
2638,5254.31718061674,2463.964757709251,M1/M0 macrophages
2984,4710.248226950354,2494.709219858156,dendritic cells
3318,4967.2131782945735,2182.248062015504,regulatory T cells
4095,4800.764397905759,2630.329842931937,CD4+ T cells
4825,4966.382352941177,2690.079831932773,CD4+ T cells
6032,4534.293906810036,2494.5806451612902,CD4+ T cells
6172,4842.5,2916.028225806452,M2 macrophages
6910,4984.947115384615,2706.605769230769,endothelial cells
7230,4512.623853211009,2542.6941896024464,regulatory T cells
7695,4808.209523809524,2148.133333333333,dendritic cells
7828,4788.570694087403,2811.7866323907456,regulatory T cells
7868,5014.760914760915,2745.6216216216217,endothelial cells
8016,5093.662790697675,2323.8255813953488,M2 macrophages
8744,4791.562091503268,2688.656862745098,dendritic cells
8767,5104.977777777778,2280.5703703703703,endothelial cells
8856,4755.44708994709,2383.7830687830688,regulatory T cells
9341,4849.65,2793.9882352941177,M2 macrophages
9349,5093.8808139534885,2141.2616279069766,M2 macrophages
9670,4801.672619047619,2840.8571428571427,M2 macrophages
9796,5053.448598130841,2652.165109034268,dendritic cells
9904,4957.589905362776,2573.981072555205,endothelial cells
9963,4728.251461988304,2185.9766081871344,M2 macrophages
9975,4629.439775910364,2587.168067226891,stromal cells
10282,4632.198113207547,2424.672955974843,endothelial cells
10396,4611.080378250591,2767.827423167849,dendritic cells
10623,4741.969325153375,2418.340490797546,M2 macrophages
10814,4854.733542319749,2536.1065830721004,M2 macrophages
10839,4663.037878787879,2799.247474747475,regulatory T cells
11126,4766.026785714285,2202.9523809523807,CD4+ T cells
11198,4764.047353760446,2616.08356545961,regulatory T cells
11227,4797.838805970149,2898.074626865672,M2 macrophages
11372,4702.611940298508,2768.176119402985,M2 macrophages
11517,4748.1088709677415,2331.423387096774,regulatory T cells
11863,5122.539682539683,2599.095238095238,regulatory T cells
12348,4968.280927835051,2779.703608247423,M2 macrophages
12498,4630.295508274232,2817.3947990543734,regulatory T cells
12523,4577.051612903226,2525.158064516129,CD4+ T cells
12637,4742.585669781932,2354.7320872274145,M2 macrophages
12800,4990.786440677966,2682.9559322033897,M2 macrophages
12855,5006.284974093264,2181.2538860103627,CD4+ T cells
13087,4646.049645390071,2301.8652482269504,M2 macrophages
13131,4698.538461538462,2478.056856187291,endothelial cells
13337,4907.6875,2255.93125,regulatory T cells
13341,4668.61224489796,2470.5272108843537,CD4+ T cells
13383,5190.3501945525295,2319.369649805448,M2 macrophages
13619,5118.682634730539,2323.2994011976048,regulatory T cells
13895,4850.834645669292,2101.48031496063,dendritic cells
13962,5019.292775665399,2671.9201520912547,M2 macrophages
14027,5080.907103825137,2297.103825136612,endothelial cells
14197,4839.358620689655,2752.38275862069,M2 macrophages
14557,4881.319078947368,2840.5855263157896,M2 macrophages
14688,5141.8,2224.1153846153848,M2 macrophages
14790,4599.204488778055,2694.907730673317,regulatory T cells
15134,4971.960159362549,2200.2988047808767,regulatory T cells
15250,5078.608142493638,2888.0763358778627,M2 macrophages
15370,4937.656804733728,2278.5147928994083,M2 macrophages
15376,4513.90365448505,2577.136212624585,regulatory T cells
15380,4832.64705882353,2130.90756302521,M2 macrophages
15636,4730.7357142857145,2378.583333333333,regulatory T cells
15640,4607.856132075472,2548.3867924528304,stromal cells
15818,5115.791262135922,2700.480582524272,M2 macrophages
15856,4693.230563002681,2687.45308310992,M2 macrophages
15895,4794.65,2386.667647058824,dendritic cells
16003,4977.180921052632,2509.0,endothelial cells
16038,4823.744360902256,2219.9473684210525,M2 macrophages
16056,4685.343511450382,2407.4885496183206,regulatory T cells
16090,4928.572072072072,2614.761261261261,regulatory T cells
16262,5017.360335195531,2566.3435754189945,dendritic cells
16338,4562.378289473684,2512.7335526315787,regulatory T cells
16354,4543.772277227723,2606.003300330033,regulatory T cells
16364,4845.30291970803,2338.773722627737,regulatory T cells
16718,4486.063492063492,2483.555555555556,CD4+ T cells
16779,4874.553125,2866.0375,M2 macrophages
16893,4986.570422535211,2244.492957746479,M2 macrophages
16896,4592.826797385621,2745.274509803922,regulatory T cells
16958,4894.569491525424,2175.505084745763,endothelial cells
17027,4863.256756756757,2926.343243243244,M2 macrophages
17156,5069.523809523809,2176.311355311356,M2 macrophages
17184,4790.488372093023,2769.8372093023254,regulatory T cells
17269,4900.029702970297,2156.917491749175,endothelial cells
17440,4699.8893805309735,2351.805309734513,regulatory T cells
17469,5146.6484375,2709.5026041666665,M2 macrophages
17499,5247.04,2249.905,regulatory T cells
17506,5064.065,2465.085,M2 macrophages
17646,5087.785310734464,2569.593220338983,M2 macrophages
17661,4780.100649350649,2540.383116883117,dendritic cells
18112,4658.551020408163,2586.7517006802723,endothelial cells
18137,5200.382653061224,2226.331632653061,M2 macrophages
18152,4865.911111111112,2655.16,M2 macrophages
18314,4983.597222222223,2421.3888888888887,M2 macrophages
18428,4687.951327433629,2608.323008849557,regulatory T cells
18464,5109.482954545455,2123.329545454545,M1/M0 macrophages
18490,4574.591836734694,2455.80612244898,CD4+ T cells
18791,4951.590909090909,2501.5578512396696,endothelial cells
18906,4585.264705882353,2262.516806722689,regulatory T cells
18914,5014.309644670051,2428.319796954315,M2 macrophages
18928,4727.480132450331,2332.119205298013,regulatory T cells
19009,4711.276381909548,2171.256281407035,CD4+ T cells
19017,5047.8625336927225,2163.66576819407,M1/M0 macrophages
19116,5028.85294117647,2547.808823529412,M2 macrophages
19155,4807.46511627907,2184.813953488372,CD4+ T cells
19345,4698.705882352941,2830.708978328173,regulatory T cells
19457,4859.682795698925,2455.5806451612902,endothelial cells
19524,4839.759162303665,2271.979057591623,regulatory T cells
19696,4758.340248962656,2755.4439834024897,regulatory T cells
19768,5151.543209876543,2497.765432098766,endothelial cells
19921,4924.379061371841,2845.772563176896,regulatory T cells
19938,5011.097972972973,2154.6554054054054,M1/M0 macrophages
