CellID,X_centroid,Y_centroid,phenotype_key
89,4025.58940397351,11537.990066225166,M2 macrophages
274,3517.986013986014,11989.53846153846,M2 macrophages
623,3666.3858267716537,11857.238188976378,memory CD8+ T cells
647,4110.13698630137,12070.534246575342,endothelial cells
737,3756.811501597444,11639.750798722043,M2 macrophages
1051,3482.474193548387,11847.525806451613,M2 macrophages
1343,3942.255528255528,11712.260442260442,dendritic cells
1421,3385.701612903226,11897.895161290322,dendritic cells
1471,3292.22699386503,11932.45398773006,effector CD8+ T cells
1564,3950.830721003135,11473.435736677116,M1/M0 macrophages
1703,3889.387543252595,11617.955017301038,endothelial cells
1764,3783.921568627451,11626.235294117649,M2 macrophages
1839,3371.597014925373,11623.262686567165,M2 macrophages
1890,3385.36917562724,11639.781362007168,dendritic cells
1907,3745.847389558233,12072.08032128514,M2 macrophages
1942,3834.890041493776,11661.292531120333,effector CD8+ T cells
1997,3509.5141700404856,11945.732793522267,M2 macrophages
2448,3422.468531468532,12210.255244755244,endothelial cells
2700,3552.2027027027025,12155.398648648648,M1/M0 macrophages
2713,3624.169811320755,12062.82641509434,M2 macrophages
2723,4079.6,12065.735714285714,M2 macrophages
2822,3977.8217821782177,12151.029702970298,M1/M0 macrophages
3034,4112.942528735633,11763.496551724138,memory CD8+ T cells
3045,3835.218637992832,11637.440860215054,effector CD8+ T cells
3228,3820.276699029126,12264.480582524273,M2 macrophages
3438,3723.380116959064,11890.707602339182,M2 macrophages
3586,3940.168699186992,12133.333333333334,M1/M0 macrophages
3698,3650.122580645161,11881.274193548386,endothelial cells
3916,4149.175792507204,12076.230547550433,M2 macrophages
4055,3436.5617647058825,11845.09411764706,M2 macrophages
4116,3485.0313479623824,11802.658307210031,M2 macrophages
4137,3635.560606060606,11512.975757575758,M2 macrophages
4455,4017.020512820513,12256.128205128203,M1/M0 macrophages
4474,3505.9737609329445,11879.533527696793,M2 macrophages
4486,3635.003533568905,11785.787985865723,M2 macrophages
4490,4163.7213114754095,12055.991803278688,M2 macrophages
