CellID,X_centroid,Y_centroid,phenotype_key
187,38159.2317636196,27381.4746075716,tumor cells
847,38067.5334128878,27562.8341288783,tumor cells
902,38486.4774193548,27395.3341935484,tumor cells
1085,38250.0788530466,28161.5681003584,effector CD8+ T cells
1167,38184.8694362018,27299.1765578635,Ki67+ tumor cells
1187,38224.2356746765,28331.0351201479,tumor cells
1291,38779.5929276316,28697.3601973684,tumor cells
1377,38393.712,27547.5824,tumor cells
1529,38372.5141800247,27341.4241676942,Ki67+ tumor cells
1913,37840.1253333333,28010.832,Unknown
2251,38269.8253477589,27314.8732612056,tumor cells
2569,39182.1787592008,27808.2597266036,tumor cells
2964,38390.2040557668,28576.2534854246,tumor cells
3687,38659.3752012883,27229.1723027375,dendritic cells
4122,38906.3020408163,27350.0469387755,tumor cells
4480,38797.5571808511,27531.1715425532,Ki67+ tumor cells
4899,38421.5214211076,28391.736677116,tumor cells
5035,39074.8779284834,27766.0073982737,tumor cells
5928,38352.2152828802,28158.5356355621,tumor cells
5937,38550.5803108808,27697.8376511226,tumor cells
6316,37946.2023809524,28406.6666666667,tumor cells
6511,38566.2306425041,27904.5436573311,tumor cells
6654,38796.1858678956,27770.7357910906,tumor cells
7127,38318.775564409,28634.4648074369,tumor cells
7547,38949.4267185473,27921.4267185473,tumor cells
7867,39334.4076246334,28180.8299120235,Ki67+ tumor cells
8030,38723.6806358382,28538.6878612717,tumor cells
8387,38336.6713221602,28312.0530726257,Ki67+ tumor cells
8742,38044.2324902724,27518.2918287938,tumor cells
8801,38795.7928921569,28487.8541666667,Ki67+ tumor cells
8948,38821.2885416667,28664.8072916667,tumor cells
9435,39045.3956043956,28598.5885225885,Ki67+ tumor cells
9981,39145.0764563107,27877.6935679612,Ki67+ tumor cells
10093,38936.3897763578,27771.6517571885,tumor cells
10164,38140.2610837438,28088.5751231527,tumor cells
10414,38813.9610619469,27208.4743362832,tumor cells
10588,38230.5347885402,28194.4297407913,tumor cells
10671,38312.7449799197,28099.6817269076,tumor cells
10685,38724.1157232704,27979.0830188679,Ki67+ tumor cells
10752,38033.0541271989,27547.1285520974,tumor cells
10786,38760.0044977511,27367.5232383808,tumor cells
10810,38562.9763421292,28265.2247497725,Ki67+ tumor cells
11100,39015.6636771301,28710.8643497758,tumor cells
11199,38418.2643678161,28518.2804597701,tumor cells
11752,38424.8111658457,27874.5238095238,tumor cells
12803,37944.8144458282,28466.8318804483,tumor cells
13343,38448.7183406114,27538.1615720524,tumor cells
13571,39301.7112582782,28413.5602649007,tumor cells
13672,38159.2151898734,28446.1967779056,Unknown
14528,38634.2123176661,27674.8622366289,tumor cells
14596,37919.1791907514,27812.2427745665,CD4+ T cells
14833,38747.174392936,28191.7803532009,tumor cells
14845,38528.3188405797,27403.8743961353,tumor cells
15106,38501.0752279635,28517.1831306991,tumor cells
15402,38266.379245283,28269.0160377358,tumor cells
15544,38436.3035714286,28433.4948979592,tumor cells
15666,38692.0359897172,27678.2802056555,tumor cells
16236,38784.641025641,28442.9230769231,tumor cells
16377,38360.41875,28502.0025,tumor cells
16495,37984.4472681067,28147.3265565438,tumor cells
17104,38976.3063583815,27402.7341040462,tumor cells
17307,38729.9742014742,28714.3243243243,tumor cells
17326,38313.0759330759,28014.3500643501,tumor cells
17604,38245.5846153846,28588.5430769231,tumor cells
17622,37989.7055900621,28505.1105590062,tumor cells
18075,38754.1023255814,27770.5976744186,tumor cells
18224,38399.5426540284,28488.2428909953,tumor cells
18328,37871.770398482,28171.3074003795,tumor cells
18433,39214.9318996416,27777.0346475508,tumor cells
18806,38476.1697312588,28493.053748232,tumor cells
18975,38080.0120087336,28230.6790393013,tumor cells
19181,37990.3530405405,28230.9831081081,tumor cells
19370,37835.704805492,27836.114416476,tumor cells
19491,38340.8181818182,28770.4901185771,tumor cells
19947,39342.271942446,27856.5438848921,Ki67+ tumor cells
20030,39031.0456692913,28155.905511811,tumor cells
20704,38203.769874477,28207.659693166,tumor cells
20803,38119.6856010568,28233.3276089828,tumor cells
20811,38748.07421875,28504.6966145833,tumor cells
20888,38585.5611510791,27312.7661870504,tumor cells
21029,38491.2696428571,27630.4714285714,Ki67+ tumor cells
21288,38739.2460526316,27818.4815789474,tumor cells
21378,38303.6046511628,28713.4312896406,tumor cells
21521,38330.4580777096,28666.3752556237,tumor cells
21830,38751.1240506329,28432.0113924051,Ki67+ tumor cells
22039,38147.9891304348,27334.4326086957,tumor cells
22064,38145.2840909091,28306.0568181818,effector CD8+ T cells
22228,38119.8540305011,28358.5206971678,tumor cells
22327,38785.8401826484,28379.9786910198,Ki67+ tumor cells
22366,39085.3885601578,27486.1380670611,tumor cells
23048,38402.3315276273,28128.9588299025,effector CD8+ T cells
23286,39123.3502673797,27779.3262032086,tumor cells
23543,38481.1054913295,27885.5476878613,tumor cells
23560,39118.7249070632,27585.7843866171,tumor cells
23565,38781.0942285041,28106.6949352179,tumor cells
23967,38685.5645472062,27965.3127809891,Ki67+ tumor cells
24206,38703.7803837953,28459.8059701493,M1/M0 macrophages
24320,38412.7129186603,27589.5598086124,tumor cells
24398,39126.2117486339,28024.206284153,Ki67+ tumor cells
25340,39383.2975047985,28002.3531669866,Ki67+ tumor cells
25511,38886.4418837675,28656.1533066132,M1/M0 macrophages
25514,38667.267768595,27283.1520661157,Ki67+ tumor cells
25529,38604.6321839081,28743.332183908,tumor cells
25799,38535.7022556391,27562.7804511278,effector CD8+ T cells
25817,38587.1213017752,28291.926035503,effector CD8+ T cells
25834,37906.6162046908,27938.4371002132,tumor cells
26321,38972.0757575758,28191.0875420875,Ki67+ tumor cells
26388,38750.1656734207,28230.3301549464,Ki67+ tumor cells
26599,39174.8498759305,28430.3225806452,Ki67+ tumor cells
