CellID,X_centroid,Y_centroid,phenotype_key
26565,25997.75,13303.3582474227,B cells
30225,26217.9488817891,12756.2715654952,B cells
34585,25674.2679425837,13050.6507177033,memory CD8+ T cells
37001,26088.4572127139,13319.5941320293,B cells
37698,25995.6606334842,13387.2805429864,memory CD4+ T cells
37881,26076.6333333333,12705.4333333333,endothelial cells
38160,26242.2431506849,12645.6198630137,B cells
45556,26428.5610465116,12795.2790697674,B cells
54048,26539.9245283019,12948.2291105121,memory CD4+ T cells
54109,25990.6183206107,12792.2213740458,M1/M0 macrophages
56258,25741.0411522634,13522.2181069959,dendritic cells
56602,25455.1374407583,12880.4976303318,regulatory T cells
58800,26356.4697508897,13098.1316725979,M1/M0 macrophages
60483,25773.0485436893,12553.4822006473,memory CD4+ T cells
62559,26271.6870748299,13024.4455782313,B cells
62833,25668.0,12775.6589595376,B cells
63433,26432.214953271,12734.0778816199,B cells
68115,26016.9736211031,13330.7769784173,memory CD4+ T cells
71936,26216.5051903114,12839.1141868512,B cells
78674,25758.0190735695,13461.6185286104,B cells
80238,26082.9588688946,13301.2519280206,B cells
81216,25798.2543554007,12853.8745644599,endothelial cells
82511,26079.1411411411,13028.0960960961,B cells
83530,25942.90625,13481.5416666667,dendritic cells
83799,25664.4226190476,13178.4107142857,endothelial cells
85416,25798.3193548387,13410.1741935484,memory CD4+ T cells
85558,26369.6168478261,13291.3532608696,M2 macrophages
86367,26471.9325,12893.2525,B cells
88359,25705.0062111801,13104.7204968944,B cells
89040,25678.2684365782,13451.8436578171,regulatory T cells
90252,26147.1317829457,12778.9534883721,memory CD8+ T cells
91290,25737.5263157895,12800.5263157895,B cells
91450,26222.6490566038,13284.1320754717,memory CD4+ T cells
94784,26381.4249291785,13355.5212464589,M2 macrophages
96495,26102.4847560976,13180.9756097561,B cells
101504,26161.2849740933,13060.9585492228,B cells
107013,25824.6079545455,12979.6875,memory CD4+ T cells
107264,25941.9886621315,13512.9750566893,dendritic cells
108813,26501.744,12878.32,B cells
109387,26206.0745762712,13498.0847457627,memory CD4+ T cells
109454,25903.7508196721,12888.4393442623,B cells
109518,26123.7468879668,13158.3485477178,B cells
109764,25502.1681415929,13196.3215339233,B cells
110454,25432.7387387387,13055.4234234234,dendritic cells
112548,25638.1532258065,13107.5806451613,stromal cells
112650,26393.8685015291,12910.4373088685,B cells
114224,26367.8685121107,13381.6747404844,M2 macrophages
115473,25853.425,12496.790625,endothelial cells
119982,26112.3905109489,13309.9671532847,M1/M0 macrophages
120305,25604.0762711864,13180.7012711864,stromal cells
123755,26466.2657657658,12929.6936936937,memory CD4+ T cells
125218,25973.6859903382,13100.1328502415,B cells
125935,25549.9411764706,12992.5610859729,dendritic cells
126689,25709.678111588,12803.1158798283,B cells
128195,25833.8913738019,13465.8146964856,memory CD8+ T cells
129965,26214.8053097345,12988.7669616519,memory CD8+ T cells
130388,26417.8983606557,12809.1737704918,B cells
133390,25815.9912280702,13428.9736842105,memory CD4+ T cells
135474,25535.5144508671,13144.710982659,B cells
135915,25824.6086956522,12524.6708074534,memory CD4+ T cells
139041,26517.7582417582,13208.8827838828,memory CD4+ T cells
140503,26543.0975609756,12930.762195122,B cells
140712,25549.7619047619,13384.291005291,dendritic cells
142610,26377.6991869919,13247.7723577236,B cells
142717,25845.7328990228,12780.667752443,B cells
142752,26106.0859728507,12924.5384615385,B cells
143706,25726.3255813953,13485.1524547804,dendritic cells
144947,25795.5089605735,12667.4802867384,memory CD4+ T cells
145889,26035.8379310345,13357.1103448276,B cells
147847,26291.2492307692,13035.3415384615,regulatory T cells
148177,25793.2211981567,12780.5806451613,memory CD4+ T cells
152678,26146.2369942197,13243.2485549133,B cells
153807,25976.8137535817,13380.6561604585,dendritic cells
155205,25981.352739726,13506.75,dendritic cells
157365,26046.7004608295,12869.5576036866,B cells
162821,25666.0143884892,12859.3309352518,B cells
163240,26250.9054054054,13156.1243243243,B cells
163790,25937.3029490617,12887.3833780161,B cells
164696,26348.0606860158,13238.3720316623,B cells
165231,26134.0848056537,13192.4664310954,B cells
166671,25810.3754266212,12998.2389078498,endothelial cells
166681,25966.2402234637,12568.8184357542,endothelial cells
169226,26301.9042253521,13481.1070422535,endothelial cells
170646,26226.8209876543,12875.3641975309,memory CD8+ T cells
172338,25920.9717868339,12863.0532915361,B cells
173110,26028.6209386282,12533.8158844765,B cells
175551,25878.64453125,13467.0234375,memory CD4+ T cells
175817,25741.8974358974,13028.0256410256,B cells
176213,25888.7781569966,13400.5255972696,M1/M0 macrophages
178780,25796.8698630137,13118.0479452055,M2 macrophages
180364,25628.3965244866,12606.0473933649,B cells
180918,25927.4545454545,12964.8251748252,B cells
183212,26048.1631701632,13492.0046620047,memory CD4+ T cells
183742,26416.6694444444,13084.575,B cells
186929,26149.0170068027,12845.8367346939,B cells
187201,25548.0561797753,12981.3483146067,memory CD4+ T cells
188702,25766.5913978495,13435.5125448029,B cells
189178,26180.7237354086,12766.8910505837,memory CD8+ T cells
190061,26137.6576200418,13132.860125261,B cells
190512,25960.6294416244,13125.8223350254,memory CD4+ T cells
190755,25894.1798107256,13518.0914826498,endothelial cells
191274,25575.275,13277.80625,B cells
191348,26265.3169398907,12971.2459016393,memory CD8+ T cells
193643,26265.1376811594,13120.2971014493,memory CD4+ T cells
194452,26008.6563467492,12991.2910216718,B cells
194900,25720.6190476191,13504.2708333333,B cells
195455,25539.3501945525,13317.719844358,endothelial cells
200530,25928.0845588235,13074.2941176471,B cells
201887,26558.5035714286,13035.4535714286,B cells
204104,26118.7666666667,13138.45,B cells
204575,26339.4178674352,12860.0662824207,B cells
205175,25882.904109589,12551.2123287671,memory CD4+ T cells
206648,25953.3099415205,12897.4766081871,memory CD4+ T cells
208528,25997.8091872792,12927.6148409894,regulatory T cells
209846,25950.1171875,13451.484375,B cells
210466,26204.7634408602,12587.3870967742,memory CD8+ T cells
210556,26072.3865546218,12945.0420168067,B cells
211857,25706.9019607843,12940.5661764706,memory CD4+ T cells
213466,25811.0996884735,13301.2274143302,B cells
214392,26056.332361516,13003.6588921283,B cells
215305,26354.2041666667,12663.1208333333,B cells
216713,26163.2641509434,13230.3180592992,B cells
218229,25452.5793357934,13103.2988929889,B cells
220668,25677.9082840237,13416.9319526627,dendritic cells
220899,25949.4545454545,13171.9330143541,M1/M0 macrophages
221227,25976.5536231884,13082.7565217391,B cells
221237,25896.0669456067,13047.769874477,B cells
222031,25652.0101694915,12684.4406779661,M2 macrophages
224050,25818.4514925373,12780.8731343284,regulatory T cells
224306,25685.3333333333,12671.6590909091,B cells
224728,25568.5704225352,13247.5387323944,dendritic cells
225845,25957.5300353357,13073.2120141343,B cells
225991,25939.39,12775.0,memory CD8+ T cells
228179,25835.83125,12973.8,memory CD4+ T cells
228620,26402.9177718833,13130.6100795756,B cells
229326,26449.6046511628,12896.0558139535,M2 macrophages
230007,25753.6884735202,13348.5919003115,B cells
231045,25919.4198113208,12651.4433962264,stromal cells
232254,26170.1052631579,12871.9415204678,B cells
232426,26191.8350253807,12811.6345177665,memory CD4+ T cells
232554,26151.1658291457,12965.0603015075,B cells
233275,25552.2978723404,13300.4007092199,B cells
234098,26334.9442622951,13389.1606557377,dendritic cells
235088,25636.6271604938,13192.2938271605,endothelial cells
235305,25796.7280334728,13270.4309623431,dendritic cells
235485,25728.9437869822,13450.0710059172,dendritic cells
237543,25891.1666666667,12842.6111111111,dendritic cells
239868,26190.8463157895,13304.4421052632,memory CD4+ T cells
240359,26285.5210843374,13443.1114457831,B cells
240592,25578.761627907,13410.0813953488,memory CD4+ T cells
240706,25614.397260274,13000.9497716895,dendritic cells
241365,25771.6927480916,12965.7213740458,memory CD4+ T cells
241454,26305.9645776567,13248.6185286104,B cells
242372,25582.6053811659,12917.730941704,memory CD4+ T cells
243529,25518.1811320755,13298.4905660377,M1/M0 macrophages
243837,25625.4011299435,13431.3983050847,M1/M0 macrophages
245089,25647.0,12850.8846153846,B cells
245199,26091.0380228137,13539.3650190114,memory CD4+ T cells
245921,25797.712962963,12702.0046296296,B cells
247866,25754.2869822485,12920.2514792899,memory CD4+ T cells
248829,26023.8867924528,12662.1924528302,endothelial cells
248982,26349.0091463415,13070.8932926829,B cells
248984,25603.7416666667,12824.425,memory CD4+ T cells
249638,26434.6231884058,13125.8876811594,regulatory T cells
